;id;afavor;n;total;trimestre;perc_governismo
266;1204480;542.0;554.0;98.0;2023-03-31;86.0
267;1204481;133.0;529.0;25.0;2023-03-31;67.0
268;1204482;231.0;259.0;89.0;2023-03-31;100.0
269;1204485;205.0;493.0;42.0;2023-03-31;83.0
270;1204486;530.0;567.0;93.0;2023-03-31;88.0
271;1204488;314.0;362.0;87.0;2023-03-31;50.0
272;1204489;298.0;316.0;94.0;2023-03-31;
273;1204491;415.0;504.0;82.0;2023-03-31;71.0
274;1204492;542.0;548.0;99.0;2023-03-31;100.0
275;1204494;170.0;189.0;90.0;2023-03-31;100.0
276;1204495;511.0;519.0;98.0;2023-03-31;100.0
277;1204497;413.0;508.0;81.0;2023-03-31;100.0
278;1204498;382.0;506.0;75.0;2023-03-31;100.0
279;1204501;607.0;623.0;97.0;2023-03-31;100.0
280;1204504;417.0;502.0;83.0;2023-03-31;100.0
281;1204506;294.0;339.0;87.0;2023-03-31;86.0
282;1204508;464.0;516.0;90.0;2023-03-31;100.0
283;1204511;159.0;339.0;47.0;2023-03-31;83.0
284;1204512;464.0;645.0;72.0;2023-03-31;75.0
285;1204517;124.0;287.0;43.0;2023-03-31;71.0
286;1204518;119.0;418.0;28.0;2023-03-31;40.0
287;1204520;75.0;403.0;19.0;2023-03-31;57.0
288;1204524;214.0;273.0;78.0;2023-03-31;88.0
289;1204525;181.0;518.0;35.0;2023-03-31;100.0
290;1204526;92.0;524.0;18.0;2023-03-31;29.0
291;1204528;111.0;574.0;19.0;2023-03-31;50.0
292;1204534;483.0;543.0;89.0;2023-03-31;100.0
293;1204535;446.0;568.0;79.0;2023-03-31;57.0
294;1204536;132.0;556.0;24.0;2023-03-31;57.0
295;1204539;345.0;407.0;85.0;2023-03-31;83.0
296;1204540;429.0;561.0;76.0;2023-03-31;75.0
297;1204549;349.0;402.0;87.0;2023-03-31;83.0
298;1204550;172.0;215.0;80.0;2023-03-31;71.0
299;1204553;519.0;566.0;92.0;2023-03-31;100.0
300;1204557;397.0;486.0;82.0;2023-03-31;80.0
301;1204559;418.0;426.0;98.0;2023-03-31;100.0
302;1204560;281.0;333.0;84.0;2023-03-31;50.0
303;1204563;136.0;285.0;48.0;2023-03-31;
304;1204566;345.0;364.0;95.0;2023-03-31;100.0
305;1204567;366.0;415.0;88.0;2023-03-31;100.0
306;1204570;125.0;352.0;36.0;2023-03-31;57.0
